Id	PosType	Layer	AdjustColor	ImageFile	IconFile	Loop	Buff	DrawProp	Tip
681	body	1		\image\effect\fightskill\gumupai\zgm_90_lh_a.spr		0	1		Ly Hận
682	body	1				0	1		Kinh Hồng Chiếu Ảnh
683	body	1		\image\effect\fightskill\gumupai\zgm_110_wnrf_a.spr		0	1		Ngũ Nội Như Phần
684	body	1		\image\effect\fightskill\gumupai\jgm_101_shy_b.spr	\image\icon\fightskill\state\pomengxing_s.spr	1	0	3	Phá Mộng Hành
685		1	Gold		\image\icon\fightskill\state\shihunyin_s.spr	1	0	3	Hồng Tụ Triền_Thất Hồn Dẫn
686	ground	1		\image\effect\fightskill\gumupai\jgm_40_jycb_b.spr	\image\icon\fightskill\state\jingyingchenbi_s.spr	1	1	2	Tịnh Ảnh Trầm Bích
687		1			\image\icon\fightskill\state\jue_s.spr	1	1	2	Tuyệt
688		1			\image\icon\fightskill\state\jin_s.spr	1	1	2	Cấm
689	body	1		\image\effect\fightskill\gumupai\zgm_40_bpyz_b.spr	\image\icon\fightskill\state\binpoyinzhen_s.spr	1	1	2	Ưu đãi kế thừa<enter>Kế thừa cường hóa lần tiếp theo chiết khấu 100%, hao 1 Cường Hóa Truyền Phù, khi thành công trạng thái sẽ mất.
690	body	1		\image\effect\fightskill\tianren\tr_50_hyfh_d.spr	\image\icon\fightskill\state\sanhunduan_s.spr	1	0	3	Băng Phách Ngân Châm_Tam Hồn Đoạn
691	body	1	Cyan	\image\effect\fightskill\gumupai\zgm_70_yfz_b.spr	\image\icon\fightskill\state\liuxiuwan_s.spr	1	0	3	Ngọc Phong Châm_Lưu Tụ Vãn
692	body	1		\image\effect\fightskill\gumupai\zgm_101_msy_b.spr	\image\icon\fightskill\state\mishenyin_s.spr	1	0	3	Mê Thần Dẫn
693	ground	1		\image\effect\fightskill\gumupai\zgm_30_fhtx_b.spr	\image\icon\fightskill\state\feihongtaxue_s.spr	1	1	2	Phi Hồng Đạp Tuyết
694	ground	1			\image\icon\fightskill\state\kanzhuchengbi_s.spr	1	1	3	Khán Chu Thành Bích_Thôn Tư
695	body	1		\image\effect\fightskill\gumupai\zgm_60_xsdf_b.spr	\image\icon\fightskill\state\xushidaifa_s.spr	1	1	2	Súc Thế Đãi Phát
696	head	1		\image\effect\fightskill\gumupai\zgm_85_xydy_b.spr	\image\icon\fightskill\state\xingyundaiyu_s.spr	1	1	2	Hành Vân Đới Vũ_Phản Chiếu Nghênh Triều
697	head	1		\image\effect\fightskill\gumupai\zgm_105_flys_b.spr	\image\icon\fightskill\state\fengliuyunsan_s.spr	1	1	2	Phong Lưu Vân Tán
698	body	1	Red		\image\icon\fightskill\state\huangquanpanshan_s.spr	1	0	3	Hoàng Tuyền Lảo Đảo
699	body	1		\image\effect\fightskill\gumupai\zgm_110_hqps_b.spr	\image\icon\fightskill\state\jiyufenxin_s.spr	1	0	3	Tích Úc Phần Tâm
700	head	1		\image\effect\fightskill\gumupai\zgm_120_wjyh_b.spr	\image\icon\fightskill\state\wujiyunhe_s.spr	1	1	2	Vụ Tập Vân Hợp
701	body	1		\image\effect\fightskill\npc\jianta_paohuo.spr		0	1		Cường Kích Pháo
702	ground	1		\image\effect\fightskill\npc\zhanche_paohuo.spr		0	1		Xuyên Tâm Nỏ
704		1			\image\icon\fightskill\state\partner\chushouxiangzhu.spr	1	1	3	Ngụy trang
705		1			\image\icon\fightskill\state\boluoxinjing.spr	0	1	2	Có thể tạm trang bị một số trang bị cao cấp
706		1			\image\icon\fightskill\state\autocd2.spr	1	0		Phật Quang Phổ Chiếu đang trong thời gian chờ, không thể phát động
707	body	1		\image\effect\fightskill\emei\em_90_fgpz_d.spr	\image\icon\fightskill\state\tianwangbensheng.spr	1	1	3	Tuyệt Xứ Phùng Sinh
708	ground	1		\image\effect\fightskill\public\huahuan_jiaodi.spr		1	1		Cước Đế Hoa Hoàn
709	body	1		\image\effect\fightskill\public\huahuan_shenshang.spr		1	1		Thân Thượng Hoa Hoàn
710	body	1		\image\effect\other\wings.spr		1	1		Cánh Đỏ
711		1			\image\icon\fightskill\state\autocd1.spr	1	0		Minh Châu Ám Đầu đang trong thời gian chờ, không thể phát động
712		1			\image\icon\fightskill\state\autocd1.spr	1	0		Mộ Vân Ngưng Bích đang trong thời gian chờ, không thể phát động
713		1			\image\icon\fightskill\state\autocd2.spr	1	0		Mê Thần Dẫn đang trong thời gian chờ, không thể phát động
714	head	1		\image\effect\fightskill\shaolin\sl_50_xlfh_b.spr	\image\icon\fightskill\state\tianwangbensheng.spr	1	1	3	Chinh Chiến Bát Phương
715		1			\image\icon\fightskill\state\autocd1.spr	1	0		Chinh Chiến Bát Phương đang trong thời gian chờ, không thể phát động
716	body	1		\image\effect\fightskill\tianwang\tw_110_blzlq_b.spr	\image\icon\fightskill\state\yumashu.spr	1	1		Kinh Lôi Trảm
717	body	1		\image\effect\fightskill\shaolin\sl_10_lhq_a.spr		0	1		Hàng Long Quyết
718	body	1		\image\effect\fightskill\tianwang\tw_10_jlz_d.spr	\image\icon\fightskill\state\tianwangbensheng.spr	1	1		Thiết Bố Sam
719		1			\image\icon\fightskill\state\autocd1.spr	1	0		Như Lai Thần Chưởng đang trong thời gian chờ, không thể phát động
